"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
vital_status_d50,demographics_and_history,,radio,"Vital Status","93, Alive | 94, Dead | 95, Unknown",,,,,,,y,RH,,,,
if_deceased_age_at_death_d51,demographics_and_history,,text,"If deceased, age at death",,,,,,,,,,,,,"If deceased, age at death."
was_this_cancer_cause_of_death_d52,demographics_and_history,,radio,"Was this cancer cause of death?","109, Yes | 110, No | 111, Unknown | 2014, N/A",,,,,,,,RH,,,,"If deceased, cause of death."
medical_history_d53,demographics_and_history,,descriptive,"<div style=""font-size: 12pt""><u>Medical History</u></div>",,,,,,,,,,,,,
do_you_have_or_have_you_had_cancer_d54,demographics_and_history,,yesno,"Do you have or have you had cancer?",,,,,,,,,RH,,,,"Do you have or have you had cancer? If yes, please complete the treatment table."
have_you_been_dx_with_uc_crohns_fap_ibs_dm_d55,demographics_and_history,,checkbox,"Have you been Dx with UC, Crohn's, FAP, IBS, DM?","53, Ulcerative Colitis | 52, Crohn's Disease | 302, Familial Adenomatous Polyposis | 51, Irritable Bowel Syndrome | 50, Diabetes | 303, None",,,,,,,,RH,,,,"Has a doctor ever told you that you have any of these illnesses or conditions?"
has_any_blood_relative_been_dx_with_these_conditions_d56,demographics_and_history,,checkbox,"Has any blood relative been Dx with  these conditions?","312, Ulcerative Colitis | 313, Crohn's Disease | 314, Familial Adenomatous Polyposis | 315, Irritable Bowel Syndrome | 316, Diabetes | 317, None | 327, Unknown",,,,,,,,RH,,,,"Have any of your blood-relatives been diagnosed with any of these illnesses or conditions?"
have_you_had_surgery_for_removal_of_intestine_colon_rectum_d57,demographics_and_history,,checkbox,"Have you had surgery for removal of intestine, colon, rectum?","44, Small Intestine | 45, Colon | 46, Rectum | 304, None | 328, Unknown",,,,,,,,RH,,,,"Have you ever had surgery for the removal of the small intestine, colon, or rectum?"
colon_screening_history_d58,demographics_and_history,,descriptive,"<div style=""font-size: 12pt""><u>Colon Screening History</u></div>",,,,,,,,,,,,,
have_you_had_flexible_sigmoidoscopy_d59,demographics_and_history,,radio,"Have you had flexible sigmoidoscopy?","228, Yes | 229, No | 230, Unknown",,,,,,,,RH,,,,"Have you had flexible sigmoidoscopy?"
how_many_colonscopies_have_you_had_d60,demographics_and_history,,radio,"How many colonscopies have you had?","245, 1 | 246, 2 | 247, 3 | 248, 4 | 249, 5 | 250, 6 | 251, 7 | 252, 8 | 440, >10 | 309, None | 253, Unknown",,,,,,,,RH,,,,"How many colonscopies you ever had?"
last_colonoscopy_date_d61,demographics_and_history,,text,"Last Colonoscopy Date",,,,,,,,,,,,,
have_you_ever_had_one_or_more_polyps_removed_d62,demographics_and_history,,radio,"Have you ever had one or more polyps removed?","310, Yes | 311, No | 2064, N/A",,,,,,,,RH,,,,"Have you ever had one or more polyps or growths in your colon removed?"
if_yes_what_is_the_total_number_removed_d63,demographics_and_history,,radio,"If yes, what is the total number removed?","240, 1-2 polyps or growths | 241, 3-5 polyps/growth | 242, More than 5 polyps/growths | 305, Unknown | 2063, N/A",,,,,,,,RH,,,,"If yes, how many colon polyps or growths have had total?(With all colonoscopies ever completed)"
was_any_polyp_or_growth_called_precancerousadenoma_d64,demographics_and_history,,radio,"Was any polyp or growth called pre-cancerous(Adenoma)?","243, Yes | 392, No | 393, Don't know | 2065, N/A",,,,,,,,RH,,,,"Was any polyp or growth called pre-cancerous(Adenoma)?"
treatment_t65,therapy_event,,descriptive,"<div style=""font-size: 12pt""><u>Treatment</u></div>",,,,,,,,,,,,,
type_of_cancer_t66,therapy_event,,radio,"Type Of Cancer","394, Anus | 449, Appendix | 877, Blood Cancer (Leukemia) | 323, Bones | 395, Brain & CNS | 320, Breast | 396, Cervix Uteri | 318, Colon | 397, Corpus Uteri | 398, Esophagus | 446, Gallbladder | 399, Kidney, Renal Pelvis, Ureter | 400, Larynx | 447, Liver | 321, Lung | 401, Lymphoma | 403, Oral Cavity | 1212, Orbital | 402, Ovary | 319, Pancreatic | 404, Parotid & Other Glands | 405, Pharynx | 406, Prostate | 407, Rectosigmoid | 408, Rectum | 2117, Skin cancer Melanoma | 2120, Skin cancer Squamous cell | 409, Skin cancer basal cell | 1230, Small Bowel | 410, Spleen | 322, Stomach | 411, Testis | 412, Thyroid | 1214, Unknown | 413, Urinary Bladder",,,,,,,,LH,,,,
site_t67,therapy_event,,radio,Site,"324, Primary Site | 326, Secondary Site",,,,,,,y,RH,,,,
year_of_diagnosis_t68,therapy_event,,text,"Year of Diagnosis",,,,,,,,,,,,,
treatment_type_t69,therapy_event,,radio,"Treatment Type","254, Radiation Therapy | 255, Chemotherapy | 301, Cancer Related Surgery",,,,,,,,RH,,,,
last_treatment_month_t70,therapy_event,,text,"Last Treatment Month",,,number,1,12,,,,,,,,
last_treatment_year_t71,therapy_event,,text,"Last Treatment Year",,,number,1900,2016,,,,,,,,
family_history_cancertypegp_t72,therapy_event,,text,"Family History CancerType-GP",,,number,0,720,,,,,,,,
export_flat_data_t73,therapy_event,,text,"Export Flat Data",,,number,0,720,,,,,,,,
contact_information_s74,secondary_contacts,,descriptive,"<div style=""font-size: 12pt""><u>Contact Information</u></div>",,,,,,,,,,,,,
last_name_s75,secondary_contacts,,text,"Last Name",,,,,,,,,,,,,
first_name_s76,secondary_contacts,,text,"First Name",,,,,,,,,,,,,
middle_initial_s77,secondary_contacts,,text,"Middle Initial",,,,,,,,,,,,,
street_address_s78,secondary_contacts,,text,"Street Address",,,,,,,,,,,,,
city_s79,secondary_contacts,,text,City,,,,,,,,,,,,,
state_s80,secondary_contacts,,text,State,,,,,,,,,,,,,
zip_code_s81,secondary_contacts,,text,"Zip Code",,,,,,,,,,,,,
home_phone_xxxxxxxxxx_s82,secondary_contacts,,text,"Home Phone (xxx-xxx-xxxx)",,,,,,,,,,,,,"Eneter phone number using XXX-XXX-XXXX format."
how_does_this_person_know_you_s83,secondary_contacts,,radio,"How does this person know you?","329, Family | 330, Friend | 331, Neighbor",,,,,,,,RH,,,,
accession_details_a84,accession_information,,descriptive,"<div style=""font-size: 12pt""><u>Accession Details</u></div>",,,,,,,,,,,,,
accession_number_a85,accession_information,,text,"Accession Number",,,,,,,,y,,,,,
deidentified_accession_number_a86,accession_information,,text,"De-Identified Accession Number",,,,,,,,,,,,,
physician_a87,accession_information,,text,Physician,,,,,,,,y,,,,,
indications_for_colon_proceduresurgery_a88,accession_information,,checkbox,"Indications for Colon procedure/Surgery","453, Screening | 454, Surveillance | 455, Diagnostic | 456, Altered Bowel Habits | 457, Ulcerative colitis | 463, Crohn's disease | 464, Diverticulitis | 465, Abdominal pain | 466, Hematochezia / Rectal bleeding | 469, Guaiac positive stool | 467, History of adenomatous polyp | 468, History of polyp (unknown) | 470, Personal history of CRC | 471, Family history of CRC | 472, Personal history of other cancer | 864, Familial Juvenile Polyposis | 865, Familial Adenomatous Polyposis | 892, Suspected Colonic Malignacy/Mass",,,,,,,,RH,,,,
indications_for_pancreatic_proceduresurgery_a89,accession_information,,checkbox,"Indications for pancreatic procedure/surgery","458, Confirmed pancreatic malignancy | 459, Chronic pancreatitis | 460, Suspected pancreatitis | 461, Pancreatic cyst | 462, Other mass lesions, e.g. Insulinoma | 893, Suspected Pancreatic Malignacy/Mass",,,,,,,,RH,,,,
date_of_procedure_a90,accession_information,,text,"Date Of Procedure",,,,,,,,y,,,,,
age_at_procedure_enterable_a91,accession_information,,text,"Age at Procedure (enterable)",,,,,,,,y,,,,,
macroscopic_type_a92,accession_information,,radio,"Macroscopic type","474, Colonic cancer | 473, Colonic polyp | 870, Colon Tissue | 475, Exocrine Pancreas | 476, Endocrine Pancreas | 944, Pancreatic Tissue",,,,,,,y,RH,,,,
total_number_of_polyps_if_applicable_a93,accession_information,,text,"Total Number of Polyps, if applicable",,,,,,,,,,,,,
total_number_of_advanced_adenomatous_polyps_if_applicable_a94,accession_information,,text,"Total number of advanced adenomatous polyps, if applicable",,,,,,,,,,,,,
total_number_of_nonadvanced_adenomatous_polyps_if_applicable_a95,accession_information,,text,"Total number of non-advanced adenomatous polyps, if applicable",,,,,,,,,,,,,
additional_pancreatic_findings_a96,accession_information,,checkbox,"Additional pancreatic findings","589, Acute pancreatitis | 590, Chronic pancreatitis | 591, Pancreatic intraepithelial neoplasia (high grade PanIN) | 592, Pancreatic adenomatosis | 593, Other | 594, None identified",,,,,,,,RH,,,,
procedure_date_range_a97,accession_information,,radio,"Procedure Date (Range)","2146, 2014 | 2143, 2013 | 2111, 2012 | 2110, 2011 | 2067, 2010 | 2066, 2009 | 1291, 2008 | 1286, 2007 | 1224, 2006 | 1223, 2005 | 1225, 2004 | 1226, 2003 | 1227, 2002 | 1228, 2001 | 1229, 2000 | 2003, 1999 | 2004, 1998 | 2005, 1997 | 2006, 1996 | 2007, 1995 | 2008, 1994 | 2009, 1993 | 2010, 1992 | 2011, 1991 | 2012, 1990",,,,,,,,RH,,,,"All year ranges are from July 1st to Jun 30th. (Financial Year)"
colonic_polyp_a98,accession_information,,descriptive,"<div style=""font-size: 12pt""><u>Colonic polyp</u></div>",,,,,,,,,,,,,
size_of_the_polyp_at_colonoscopy_cm_a99,accession_information,,text,"Size of the polyp at colonoscopy (cm)",,,,,,,,,,,,,
size_of_polyp_at_colonoscopy_a100,accession_information,,radio,"Size of polyp at colonoscopy","867, Diminutive (<5 mm) | 868, Medium (5-9mm) | 869, Large (>=1cm)",,,,,,,,RH,,,,
polyp_configuration_a101,accession_information,,radio,"Polyp configuration","494, Pedunculated | 495, Sessile | 496, Not specified",,,,,,,,RH,,,,
location_site_a102,accession_information,,radio,"Location (Site)","451, Cecum | 452, Ascending colon | 477, Hepatic flexure | 478, Transverse colon | 479, Splenic flexure | 480, Descending colon | 481, Sigmoid colon | 482, Rectosigmoid | 483, Rectum | 484, Not specified",,,,,,,,RH,,,,
location_in_cm_a103,accession_information,,text,"Location in cm",,,,,,,,,,,,,
type_of_resection_a104,accession_information,,radio,"Type of resection","536, Polypectomy | 537, Biopsy only | 538, Bowel resection | 539, Local resection | 540, Autopsy | 541, Other",,,,,,,,RH,,,,
polyp_removed_in_piecemeal_a105,accession_information,,yesno,"Polyp removed in piecemeal",,,,,,,,,RH,,,,
multiple_fragments_in_one_jar_a106,accession_information,,yesno,"Multiple fragments in one jar?",,,,,,,,,RH,,,,
size_of_the_polyp_at_pathology_cm_a107,accession_information,,text,"Size of the polyp at pathology (cm)",,,,,,,,,,,,,
histopathologic_type_a108,accession_information,,radio,"Histopathologic type","542, Hyperplastic | 543, Inflammatory | 544, Hamartomatous | 545, Tubular Adenoma | 546, Tubulovillous Adenoma | 547, Villous Adenoma | 548, Familial Adenomatous Polyposis | 549, Juvenile | 550, Cancer | 551, Other | 554, Serrated adenoma",,,,,,,y,RH,,,,
presence_of_dysplasia_a109,accession_information,,radio,"Presence of dysplasia","552, Low grade | 553, High/Severe grade | 862, Not Available | 863, None",,,,,,,,RH,,,,
type_of_adenoma_a110,accession_information,,radio,"Type of Adenoma","858, Advanced | 859, Non-advanced | 895, Not Applicable",,,,,,,y,RH,,,,
colonic_cancer_a111,accession_information,,descriptive,"<div style=""font-size: 12pt""><u>Colonic cancer</u></div>",,,,,,,,,,,,,
type_of_specimen_a112,accession_information,,radio,"Type of specimen","793, Right hemicolectomy | 794, Transverse colectomy | 795, Left hemicolectomy | 796, Sigmoidectomy | 797, Rectal / rectosigmoid colon | 798, Total abdominal colectomy | 799, Abdominoperineal resection | 800, Other | 801, Not specified",,,,,,,y,RH,,,,
specimen_measurement_cm_a113,accession_information,,text,"Specimen measurement (cm)",,,,,,,,y,,,,,
location_of_tumor_a114,accession_information,,radio,"Location of tumor","757, Cecum | 758, Asecending colon | 759, Hepatic flexure | 760, Transverse colon | 761, Splenic flexure | 762, Descending colon | 763, Sigmoid colon | 764, Rectosigmoid | 790, Rectum | 791, Other | 792, Cannot be determined",,,,,,,y,RH,,,,
tumor_configuration_a115,accession_information,,radio,"Tumor configuration","765, Arising in a polyp | 766, Infiltrative | 767, Ulcerating | 768, Exophytic | 769, Other",,,,,,,,RH,,,,
tumor_size_cm_a116,accession_information,,text,"Tumor size (cm)",,,,,,,,y,,,,,
intactness_of_mesorectum_a117,accession_information,,radio,"Intactness of mesorectum","773, Complete | 774, Near complete | 775, Incomplete | 776, Not applicable",,,,,,,,RH,,,,
histopathologic_type_colonic_cancer_a118,accession_information,,radio,"Histopathologic type (colonic cancer)","777, Adenocarcinoma | 778, Mucinous adenocarcinoma | 779, Medullary carcinoma | 780, Signet-ring cell carcinoma | 781, Small cell carcinoma | 782, Undifferentiated carcinoma | 783, Carcinoma. type cannot be determined | 784, Other",,,,,,,y,RH,,,,
histopathologic_grade_colonic_cancer_a119,accession_information,,radio,"Histopathologic grade (colonic cancer)","785, Low | 786, High | 885, Moderately differentiated | 787, Not applicable | 788, Cannot be assessed | 789, Other",,,,,,,,RH,,,,
pathology_primary_tumor_pt_staging_a120,accession_information,,radio,"Pathology (Primary Tumor, pT) Staging","818, pTX | 819, pT0 | 820, pTis-ip | 821, pTis | 822, pT1 | 823, pT2 | 824, pT3 | 846, pT3a/b | 847, pT3c/d | 825, pT4a | 826, pT4b",,,,,,,y,RH,,,,
pathologic_regional_lymph_node_pnstaging_a121,accession_information,,radio,"Pathologic (regional lymph node, pN)staging","812, pNX | 813, pN0 | 814, pN1 | 815, pN2",,,,,,,y,RH,,,,
pathologic_distant_metastasis_pmstaging_a122,accession_information,,radio,"Pathologic (distant metastasis, pM)staging","809, pMX | 810, pM1",,,,,,,y,RH,,,,
proximal_margin_status_a123,accession_information,,radio,"Proximal margin status","579, Cannot be assessed | 580, Uninvolved | 581, Involved | 582, Carcinoma-in-situ (absent) | 583, Carcinoma-in-situ (present)",,,,,,,,RH,,,,
distal_margin_status_a124,accession_information,,radio,"Distal margin status","574, Cannot be assessed | 575, Uninvolved | 576, Involved | 577, Carcinoma in situ absent | 578, Carcinoma in situ present",,,,,,,,RH,,,,
circumferential_margin_status_a125,accession_information,,radio,"Circumferential margin status","570, Not applicable | 571, Cannot be assessed | 572, Uninvolved | 573, Involved",,,,,,,,RH,,,,
mesenteric_margin_status_a126,accession_information,,radio,"Mesenteric margin status","565, Cannot be assessed | 566, Uninvolved | 567, Involved",,,,,,,,RH,,,,
angiolymphatic_invasion_a127,accession_information,,radio,"Angiolymphatic invasion","600, Present | 601, Absent | 602, Indeterminate",,,,,,,,RH,,,,
perineural_invasion_a128,accession_information,,radio,"Perineural invasion","599, Present | 603, Absent",,,,,,,,RH,,,,
tumor_border_configuration_a129,accession_information,,radio,"Tumor border configuration","804, Pushing | 805, Infiltrating",,,,,,,,RH,,,,
lymphocytic_response_a130,accession_information,,radio,"Lymphocytic response","806, None | 807, Mild to moderate | 808, Marked",,,,,,,,RH,,,,
presence_of_metastasis_a131,accession_information,,radio,"Presence of metastasis","1015, Yes | 1016, No | 1017, Unknown | 1018, Not Applicable",,,,,,,,RH,,,,
site_of_metastasis_a132,accession_information,,radio,"Site of metastasis","1033, Anus | 1053, Appendix | 1032, Bones | 1029, Breast | 1034, Brain & CNS | 1027, Colon | 1035, Cervix Uteri | 1036, Corpus Uteri | 1037, Esophagus | 1038, Kidney, Renal Pelvis, Ureter | 1039, Larynx | 1055, Liver | 1030, Lung | 1040, Lymphnode | 1041, Ovary | 1042, Oral Cavity | 1028, Pancreatic | 1043, Parotid & Other Glands | 1044, Pharynx | 1045, Prostate | 1046, Rectosigmoid | 1047, Rectum | 1056, Skin | 1048, Spleen | 1031, Stomach | 1049, Testis | 1050, Thyroid | 1051, Urinary Bladder | 1052, Gallbladder | 1054, Blood Cancer (Leukemia)",,,,,,,,RH,,,,
exocrine_pancreas_a133,accession_information,,descriptive,"<div style=""font-size: 12pt""><u>Exocrine Pancreas</u></div>",,,,,,,,,,,,,
specimen_type_a134,accession_information,,radio,"Specimen Type","626, Excisional biopsy | 627, Pancreaticoduodenectomy (Whipple resection), partial pancreatectomy | 628, Pancreaticoduodenectomy (Whipple resection), total pancreatectomy | 629, Pylorus sparing pancreaticoduodenectomy, partial pancreatectomy | 630, Pylorus sparing pancreaticoduodenectomy, total pancreatectomy | 631, Partial resection, pancreatic body | 632, Partial resection, pancreatic tail | 633, Other | 634, Not specified",,,,,,,y,RH,,,,
tumor_location_a135,accession_information,,radio,"Tumor location","697, Pancreatic head | 698, Uncinate process | 699, Pancreatic body | 700, Pancreatic tail | 701, Not specified",,,,,,,y,RH,,,,
tumor_size_cm_a136,accession_information,,text,"Tumor size (cm)",,,,,,,,y,,,,,
other_organs_resected_a137,accession_information,,radio,"Other organs resected","705, Spleen | 706, Gallbladder | 707, Other | 708, None",,,,,,,,RH,,,,
histopathologic_type_a138,accession_information,,radio,"Histopathologic type","709, Ductal adenocarcinoma | 710, Mucinous noncystic carcinoma | 711, Signet ring cell carcinoma | 712, Adenosquamous carcinoma | 713, Undifferentiated carcinoma | 714, Undifferentiated carcinoma with osteocleast-like giant cells | 715, Mixed ductal-endocrine carcinoma | 716, Serous cystadenocarcinoma | 717, Mucinous cystadenocarcinoma | 718, Mucinous cystadenocarcinoma - invasive | 719, Invasive papillary-mucinous carcinoma | 720, Acinar cell carcinoma | 721, Acinar cell cystadenocarcinoma | 722, Mixed acinar-endocrine carcinoma | 723, Carcinoma, type cannot be determined | 724, Other",,,,,,,y,RH,,,,
histopathologic_grade_a139,accession_information,,radio,"Histopathologic grade","725, Cannot be assessed | 726, Well differentiated | 727, Moderately differentiated | 728, Poorly differentiated | 729, Undifferentiated | 731, Other",,,,,,,,RH,,,,
pathologic_staging_primary_tumor_pt_a140,accession_information,,radio,"Pathologic staging (primary tumor, pT)","746, pTX | 745, pT0 | 740, pTs | 741, pT1 | 742, pT2 | 743, pT3 | 744, pT4 | 941, N/A",,,,,,,y,RH,,,,
pathologic_staging_regional_lymph_nodes_pn_a141,accession_information,,radio,"Pathologic staging (regional lymph nodes, pN)","735, pN0 | 736, pN1 | 737, pN1a | 738, pN1b | 739, pNX | 942, N/A",,,,,,,y,RH,,,,
pathologic_staging_distant_metastasis_pm_a142,accession_information,,radio,"Pathologic staging (distant metastasis, pM)","732, pMX | 733, pM1 | 943, N/A",,,,,,,y,RH,,,,
